instant,date,season,year,month,hour,holiday,workingday,weather,temp,atemp,hum,casual,registered,total,casual_day,registered_day,revenue_hour,revenue_day,total_rentals_hour,total_rentals_day
1,2011-01-01,Spring,2011,Jan,0,0,0,Clear/Partly Cloudy,0.24,0.2879,0.81,3,13,16,331,654,54,86808,16,985
2,2011-01-01,Spring,2011,Jan,1,0,0,Clear/Partly Cloudy,0.22,0.2727,0.8,8,32,40,331,654,136,86808,40,985
3,2011-01-01,Spring,2011,Jan,2,0,0,Clear/Partly Cloudy,0.22,0.2727,0.8,5,27,32,331,654,106,86808,32,985
4,2011-01-01,Spring,2011,Jan,3,0,0,Clear/Partly Cloudy,0.24,0.2879,0.75,3,10,13,331,654,45,86808,13,985
5,2011-01-01,Spring,2011,Jan,4,0,0,Clear/Partly Cloudy,0.24,0.2879,0.75,0,1,1,331,654,3,86808,1,985
6,2011-01-01,Spring,2011,Jan,5,0,0,Mist/Cloudy,0.24,0.2576,0.75,0,1,1,331,654,3,86808,1,985
7,2011-01-01,Spring,2011,Jan,6,0,0,Clear/Partly Cloudy,0.22,0.2727,0.8,2,0,2,331,654,10,86808,2,985
8,2011-01-01,Spring,2011,Jan,7,0,0,Clear/Partly Cloudy,0.2,0.2576,0.86,1,2,3,331,654,11,86808,3,985
9,2011-01-01,Spring,2011,Jan,8,0,0,Clear/Partly Cloudy,0.24,0.2879,0.75,1,7,8,331,654,26,86808,8,985
10,2011-01-01,Spring,2011,Jan,9,0,0,Clear/Partly Cloudy,0.32,0.3485,0.76,8,6,14,331,654,58,86808,14,985
11,2011-01-01,Spring,2011,Jan,10,0,0,Clear/Partly Cloudy,0.38,0.3939,0.76,12,24,36,331,654,132,86808,36,985
12,2011-01-01,Spring,2011,Jan,11,0,0,Clear/Partly Cloudy,0.36,0.3333,0.81,26,30,56,331,654,220,86808,56,985
13,2011-01-01,Spring,2011,Jan,12,0,0,Clear/Partly Cloudy,0.42,0.4242,0.77,29,55,84,331,654,310,86808,84,985
14,2011-01-01,Spring,2011,Jan,13,0,0,Mist/Cloudy,0.46,0.4545,0.72,47,47,94,331,654,376,86808,94,985
15,2011-01-01,Spring,2011,Jan,14,0,0,Mist/Cloudy,0.46,0.4545,0.72,35,71,106,331,654,388,86808,106,985
16,2011-01-01,Spring,2011,Jan,15,0,0,Mist/Cloudy,0.44,0.4394,0.77,40,70,110,331,654,410,86808,110,985
17,2011-01-01,Spring,2011,Jan,16,0,0,Mist/Cloudy,0.42,0.4242,0.82,41,52,93,331,654,361,86808,93,985
18,2011-01-01,Spring,2011,Jan,17,0,0,Mist/Cloudy,0.44,0.4394,0.82,15,52,67,331,654,231,86808,67,985
19,2011-01-01,Spring,2011,Jan,18,0,0,Light Snow/Rain,0.42,0.4242,0.88,9,26,35,331,654,123,86808,35,985
20,2011-01-01,Spring,2011,Jan,19,0,0,Light Snow/Rain,0.42,0.4242,0.88,6,31,37,331,654,123,86808,37,985
21,2011-01-01,Spring,2011,Jan,20,0,0,Mist/Cloudy,0.4,0.4091,0.87,11,25,36,331,654,130,86808,36,985
22,2011-01-01,Spring,2011,Jan,21,0,0,Mist/Cloudy,0.4,0.4091,0.87,3,31,34,331,654,108,86808,34,985
23,2011-01-01,Spring,2011,Jan,22,0,0,Mist/Cloudy,0.4,0.4091,0.94,11,17,28,331,654,106,86808,28,985
24,2011-01-01,Spring,2011,Jan,23,0,0,Mist/Cloudy,0.46,0.4545,0.88,15,24,39,331,654,147,86808,39,985
25,2011-01-02,Spring,2011,Jan,0,0,0,Mist/Cloudy,0.46,0.4545,0.88,4,13,17,131,670,59,63960,17,801
26,2011-01-02,Spring,2011,Jan,1,0,0,Mist/Cloudy,0.44,0.4394,0.94,1,16,17,131,670,53,63960,17,801
27,2011-01-02,Spring,2011,Jan,2,0,0,Mist/Cloudy,0.42,0.4242,1.0,1,8,9,131,670,29,63960,9,801
28,2011-01-02,Spring,2011,Jan,3,0,0,Mist/Cloudy,0.46,0.4545,0.94,2,4,6,131,670,22,63960,6,801
29,2011-01-02,Spring,2011,Jan,4,0,0,Mist/Cloudy,0.46,0.4545,0.94,2,1,3,131,670,13,63960,3,801
30,2011-01-02,Spring,2011,Jan,6,0,0,Light Snow/Rain,0.42,0.4242,0.77,0,2,2,131,670,6,63960,2,801
31,2011-01-02,Spring,2011,Jan,7,0,0,Mist/Cloudy,0.4,0.4091,0.76,0,1,1,131,670,3,63960,1,801
32,2011-01-02,Spring,2011,Jan,8,0,0,Light Snow/Rain,0.4,0.4091,0.71,0,8,8,131,670,24,63960,8,801
33,2011-01-02,Spring,2011,Jan,9,0,0,Mist/Cloudy,0.38,0.3939,0.76,1,19,20,131,670,62,63960,20,801
34,2011-01-02,Spring,2011,Jan,10,0,0,Mist/Cloudy,0.36,0.3485,0.81,7,46,53,131,670,173,63960,53,801
35,2011-01-02,Spring,2011,Jan,11,0,0,Mist/Cloudy,0.36,0.3333,0.71,16,54,70,131,670,242,63960,70,801
36,2011-01-02,Spring,2011,Jan,12,0,0,Mist/Cloudy,0.36,0.3333,0.66,20,73,93,131,670,319,63960,93,801
37,2011-01-02,Spring,2011,Jan,13,0,0,Mist/Cloudy,0.36,0.3485,0.66,11,64,75,131,670,247,63960,75,801
38,2011-01-02,Spring,2011,Jan,14,0,0,Light Snow/Rain,0.36,0.3485,0.76,4,55,59,131,670,185,63960,59,801
39,2011-01-02,Spring,2011,Jan,15,0,0,Light Snow/Rain,0.34,0.3333,0.81,19,55,74,131,670,260,63960,74,801
40,2011-01-02,Spring,2011,Jan,16,0,0,Light Snow/Rain,0.34,0.3333,0.71,9,67,76,131,670,246,63960,76,801
41,2011-01-02,Spring,2011,Jan,17,0,0,Clear/Partly Cloudy,0.34,0.3333,0.57,7,58,65,131,670,209,63960,65,801
42,2011-01-02,Spring,2011,Jan,18,0,0,Mist/Cloudy,0.36,0.3333,0.46,10,43,53,131,670,179,63960,53,801
43,2011-01-02,Spring,2011,Jan,19,0,0,Clear/Partly Cloudy,0.32,0.2879,0.42,1,29,30,131,670,92,63960,30,801
44,2011-01-02,Spring,2011,Jan,20,0,0,Clear/Partly Cloudy,0.3,0.2727,0.39,5,17,22,131,670,76,63960,22,801
45,2011-01-02,Spring,2011,Jan,21,0,0,Clear/Partly Cloudy,0.26,0.2273,0.44,11,20,31,131,670,115,63960,31,801
46,2011-01-02,Spring,2011,Jan,22,0,0,Clear/Partly Cloudy,0.24,0.2121,0.44,0,9,9,131,670,27,63960,9,801
47,2011-01-02,Spring,2011,Jan,23,0,0,Clear/Partly Cloudy,0.22,0.2273,0.47,0,8,8,131,670,24,63960,8,801
48,2011-01-03,Spring,2011,Jan,0,0,1,Clear/Partly Cloudy,0.22,0.197,0.44,0,5,5,120,1229,15,102888,5,1349
49,2011-01-03,Spring,2011,Jan,1,0,1,Clear/Partly Cloudy,0.2,0.1667,0.44,0,2,2,120,1229,6,102888,2,1349
50,2011-01-03,Spring,2011,Jan,4,0,1,Clear/Partly Cloudy,0.16,0.1364,0.47,0,1,1,120,1229,3,102888,1,1349
51,2011-01-03,Spring,2011,Jan,5,0,1,Clear/Partly Cloudy,0.16,0.1364,0.47,0,3,3,120,1229,9,102888,3,1349
52,2011-01-03,Spring,2011,Jan,6,0,1,Clear/Partly Cloudy,0.14,0.1061,0.5,0,30,30,120,1229,90,102888,30,1349
53,2011-01-03,Spring,2011,Jan,7,0,1,Clear/Partly Cloudy,0.14,0.1364,0.5,1,63,64,120,1229,194,102888,64,1349
54,2011-01-03,Spring,2011,Jan,8,0,1,Clear/Partly Cloudy,0.14,0.1212,0.5,1,153,154,120,1229,464,102888,154,1349
55,2011-01-03,Spring,2011,Jan,9,0,1,Clear/Partly Cloudy,0.16,0.1364,0.43,7,81,88,120,1229,278,102888,88,1349
56,2011-01-03,Spring,2011,Jan,10,0,1,Clear/Partly Cloudy,0.18,0.1667,0.43,11,33,44,120,1229,154,102888,44,1349
